Position,ApplicationDate,Notes,Source,JobUrl
Senior Software Development Engineer,2-7-2026,remote,KeyPleaz,,https://www.indeed.com/viewjob?jk=571bda2664f64625&tk=1jgrf2v3lkdea801&from=jobi2a&advn=920787375889637&adid=456450036&ad=-6NYlbfkN0BnK-j1pJ__U9ZfTSM1R0qyg_PGBhCtibbl8rOGZRkjsJtw7zxtTyYFT9uKvCYR_SzYqc9bM2m1KqYbt0f_sq8HSGcmWmKpCbRf2XJHRL-yt7PYUVV6KIuj3PH6C_MYjWoSxN5Qv9SedpuahDalDg1fDNKz0_c13NZX896KKhZAsAYdIHAQrl8ZJeXRo0G-SvzEM06ypOyx5WJE48_6nxfkkRKkojjaeSqfVSlmK2yqjwUL7NuR3LBqQ11mbdXxrLX59zKztUoZfJQz4XlssfQzbnE0N3Esnkp9LZyyXChffp-tMDhINcplwlE9XL9VTf7wIOgMJ1EgciUBfvYKc-Na5P5H_cmkzGLRFMRZAmuNnbDbZNDHsP0kyXI1im5A6NnvCoSAm90JEHIZiY5mDa4GxzZxd-I5z6NnXCviUDbbnlZoWRd1z6kOrydM6mKoIowtZm9mjmJEfDBOrTWl_6vNQyksSdaeGTzDbGwetyzJAfulok33G3J9-SX2eCDEA98fsfW05y9LfAz9TOdwTLGLWMvDCoT5Ppok8zvy6cukE01PMGRMCQDDkeYbebl03_IqH6Exd3Ko7p66rdy2iOLkThDgt_UA2uNKeTwEZCwrMeqypA808QN6&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-US_email&camk=UoKtGZLa3XKuTsx30OGUHw%3D%3D&jrtk=5-cmh1-1-1jgrf2kpjokh8807-571bda2664f64625&xkcb=SoBq6_M3nbWEMOWQTB0hbzkdCdPP&xpse=SoCv6_I3ncDr9fSXHB0PbzkdCdPP&xfps=07bebc58-f971-404d-9ff9-8185a2c341f2
Software Architect,2-7-2026,remote,sourcetoad,,https://www.indeed.com/viewjob?jk=9e516c78807318c2&tk=1jgrf2v3lkdea801&from=jobi2a&advn=4312714644473158&adid=456454504&ad=-6NYlbfkN0CjhlpcIGk8MRrqVEZC62LDhbw9yf8nYsDbPLbnAzWIoJdGQejzdjSox_GillGOcJ75synHi0HIjtplES0ynLe2g8YCHAiOS0iCe-PYvZjsfSgbEhcocrE4blZdUF7fjpIa7FrNEaKzsSPMsZOEAM3W6QvTfmpLqzBHs1I9o7tge-nKSQScehOeHQmvNrjeLKEZa1KkbpXnXfsJAV588zIFm7mOfSVdu3QVmSOIiFidYj1R-3bDrl4Sir2Mo4ulVlYQ-AbRJl3pphwoVA9vCaGcvRRi7FUwdBGy7JDQ7a2H78ijosFb9Y0iQ5SbTBw1eZOn7bobFF3FFCH-zmqc0isrPOl_meejXR9NugtDmzrWPTDAthLU5nNruuPhORRFJhOPj3oEAB0O0yssZ_cdU4dbQa-mfPVox79vbEUdgmfeb9dDsz_aNeR5ftY838l1cCQvOqiNiCP7aesfh19xJY0pJ1cMYvFNAabLH91CJcb62KxyityEfXKI1L5Bw-AuipwmmW0KRVmeY34V1casmoJh2893pysvFhnkV7sHlo5cwxsG1UQRyNEhVUBdCb-cs3r4YByrcwEfQVbooXRd8R4LynXahQtFh2W48CAPfIoYICdxbpPBNfGp&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-US_email&camk=UoKtGZLa3XKAq9oAghhfBg%3D%3D&jrtk=5-cmh1-1-1jgrf2kpjokh8807-9e516c78807318c2&xkcb=SoAg6_M3nbWEMO2QTB0fbzkdCdPP&xpse=SoD86_I3ncD4lYSbRp0PbzkdCdPP&xfps=4672b467-fcab-472b-a600-37845e88e835
Senior Data Infrastructure Engineer,2-7-2026,remote,Rise Technical Recruitment Limited,,https://www.indeed.com/viewjob?jk=3f8834b1afe9b136&tk=1jgrf2v3lkdea801&from=jobi2a&advn=8974931266740428&adid=454161605&ad=-6NYlbfkN0A1TqbH9HyVIoHoSSwS57OrbIBFj-0eZTPMY3bNP8iJZUyKyC74e5VB8TVoIb44jx_ImVprMuCcFqwEZVURDnV5m79Fy0mZfBPI9l2X1zApTHYfZAnDAee_XuK5zaiYqgehNG1exW_oVMhhCe41AFKe2hFwQIZi9xwyB5KoBPUicbryISjwoCD3AbODSCdB92I1utv4F-oJySOI2yASClA0yPRR6mJ8hahF1_kGBaG20WjFH5T25EEGvn-nqBgMLo8g_K65RItUebGrKx0Pmz-eOMdKFzC9vyUZjEDBByoEbL2guv_0wh4gQWvcSix0Rroc5AcPKNpTee3yVrg0JcjIGFPcdhdok8O1TnnG1fmBY5UvRWF-Z4funtiqemtfaxk5eaBCCrRXs2Nc4mZfwo5ZHod4DwxRyTOlh-_mDI6ZxVsHhXTuwaYwz0qbj6G3sBckrFVoylEGwW3_KO1YDIRBKp_U-tFdq2MShKEpCQfZtXv_W4uyGznkq5snC1z2o8ijy97GZDiRaJMzxKPGYwM_4WBPk_eLI0YD1M_nlJ-Tc_59CCp8fC-ie4VPuiqdSKid9SnjFuGXw6noLJoic5hhSIDW6azUXFyhfRKaywaRuulpT422Ioeg&sjdu=vUz3PJIdpGfygLQXVlxEDmKXVNt8clztZRHj3YFlQ1kLGYsC6YiibsDFOjRUS192y5mWJ5Be6ogk42T-uRcOfgN-nZK_RZwkYpPRYXUuMuNllU6EjePEmnKcaP5OKWttO7vKshRkkqAvghRCMZXjpqDqdOfsOLBS2JEeMMjYBcs&acatk=1jgs6a1uag6ia802&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-US_email&camk=UoKtGZLa3XLxE_S-sWaFRg%3D%3D&jrtk=5-cmh1-1-1jgrf2kpjokh8807-3f8834b1afe9b136&xkcb=SoDg6_M3nbWEMO2QTB0SbzkdCdPP&xpse=SoDT6_I3ncEn5QSYn50PbzkdCdPP&xfps=666c4985-8dc8-4276-91e9-c69b05519687
Software Engineer,2-7-2026,remote,Difference card,,https://www.linkedin.com/jobs/search/?alertAction=viewjobs&currentJobId=4369699388&distance=25&f_TPR=a1770352194-&f_WT=1%2C3%2C2&geoId=90000384&keywords=software%20engineer&origin=JOB_ALERT_IN_APP_NOTIFICATION&originToLandingJobPostings=4369699388%2C4369731702%2C4369667254%2C4361018229%2C4360558954%2C4361065776&savedSearchId=8438232274&sortBy=R
"Senior Software Engineer, .NET",2-7-2026,remote,Aspira,,https://www.linkedin.com/jobs/search/?alertAction=viewjobs&currentJobId=4369949047&distance=25&f_TPR=a1770352194-&f_WT=1%2C3%2C2&geoId=90000384&keywords=software%20engineer&origin=JOB_ALERT_IN_APP_NOTIFICATION&originToLandingJobPostings=4369699388%2C4369731702%2C4369667254%2C4361018229%2C4360558954%2C4361065776&savedSearchId=8438232274&sortBy=R
Software Engineer 3,2-7-2026,remote,Comcast,$ophiaBaBaBaBa2026,https://www.linkedin.com/jobs/search/?alertAction=viewjobs&currentJobId=4370016570&distance=25&f_TPR=a1770352194-&f_WT=1%2C3%2C2&geoId=90000384&keywords=software%20engineer&origin=JOB_ALERT_IN_APP_NOTIFICATION&originToLandingJobPostings=4369699388%2C4369731702%2C4369667254%2C4361018229%2C4360558954%2C4361065776&savedSearchId=8438232274&sortBy=R
System Data Integration and C# Full Stack Developer (Mid-Level or Senior),2-7-2026,,Boeing,,https://jobs.boeing.com/job/renton/system-data-integration-and-c-full-stack-developer-mid-level-or-senior/185/91426040080
Senior Application Developer,2-7-2026,22nd Judicial Circuit Court of Missouri,,,"https://www.indeed.com/q-software-engineer-l-st.-louis,-mo-jobs.html?vjk=ad23b7347094c881&advn=5596838134381446"
Software Engineer,2-7-2026,"MiTek USA Inc - 16023 Swingley Ridge Road Chesterfield, Missouri 63017, USA",,,https://www.indeed.com/viewjob?jk=b5c722b4034c4f5b&applied=1
Full Stack Software Engineer III,2-7-2026,Acosta Group,hybrid,,https://eczy.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/15410
